from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022021461200001,9022021461200001,1,,217990000036664440,217990000039749456
9022021461014002,9022021461014001,1,,217990000036664440,217990000039749456
9022021461200001,9022021461200001,1,,217990000036664461,217990000039749487
9022021461014002,9022021461014001,1,,217990000036664461,217990000039749487
9022021461200001,9022021461200001,1,,217990000038645417,217990000039749514
9022021461014002,9022021461014001,1,,217990000038645417,217990000039749514
9022021484137001,9022021484137001,1,,217990000033102496,217990000035047391
9022021484137001,9022021484137002,1,,217990000033102496,217990000035047391
9022021484137001,9022021484137001,1,,217990000033103083,217990000035047090
9022021484137001,9022021484137002,1,,217990000033103083,217990000035047090
9022021484137001,9022021484137001,1,,217990000033204958,217990000039044250
9022021484137001,9022021484137002,1,,217990000033204958,217990000039044250
9022021484137001,9022021484137001,1,,217990000033205393,217990000039749865
9022021484137001,9022021484137002,1,,217990000033205393,217990000039749865
9022021484137001,9022021484137001,1,,217990000034583769,217990000039060843
9022021484137001,9022021484137002,1,,217990000034583769,217990000039060843
9022021484137001,9022021484137001,1,,217990000033205489,217990000039043905
9022021484137001,9022021484137002,1,,217990000033205489,217990000039043905
9022021484137001,9022021484137001,1,,217990000033205666,217990000039043942
9022021484137001,9022021484137002,1,,217990000033205666,217990000039043942
9022021484137001,9022021484137001,1,,217990000035046589,217990000039637255
9022021484137001,9022021484137002,1,,217990000035046589,217990000039637255
9022021484137001,9022021484137001,1,,217990000035046734,217990000035047190
9022021484137001,9022021484137002,1,,217990000035046734,217990000035047190
9022021484137001,9022021484137001,1,,217990000035046644,217990000035047226
9022021484137001,9022021484137001,1,,217990000038648064,217990000036111102
9022021484137001,9022021484137002,1,,217990000038648064,217990000036111102
9022021484137001,9022021484137001,1,,217990000035046618,217990000039637347
9022021484137001,9022021484137002,1,,217990000035046618,217990000039637347
9022021484137001,9022021484137001,1,,217990000036110157,217990000035047018
9022021484137001,9022021484137002,1,,217990000036110157,217990000035047018
9022021484137001,9022021484137001,1,,217990000036110405,217990000035047354
9022021484137001,9022021484137002,1,,217990000036110405,217990000035047354
9022021484137001,9022021484137001,1,,217990000036110241,217990000039637043
9022021484137001,9022021484137002,1,,217990000036110241,217990000039637043
9022021484137001,9022021484137001,1,,217990000036110323,217990000035047054
9022021484137001,9022021484137002,1,,217990000036110323,217990000035047054
9022021484137001,9022021484137001,1,,217990000039043540,217990000039044324
9022021484137001,9022021484137002,1,,217990000039043540,217990000039044324
9022021484137001,9022021484137001,1,,217990000039439231,217990000039043831
9022021484137001,9022021484137002,1,,217990000039439231,217990000039043831
9022021484137001,9022021484137001,1,,217990000039439318,217990000039750062
9022021484137001,9022021484137002,1,,217990000039439318,217990000039750062
9022021484137001,9022021484137001,1,,217990000039439403,217990000039043868
9022021484137001,9022021484137002,1,,217990000039439403,217990000039043868
9022021484137001,9022021484137001,1,,217990000039439488,217990000039044575
9022021484137001,9022021484137002,1,,217990000039439488,217990000039044575
9022021484137001,9022021484137001,1,,217990000039439578,217990000039044046
9022021484137001,9022021484137002,1,,217990000039439578,217990000039044046
9022021484137001,9022021484137001,1,,217990000039636865,217990000035047463
9022021484137001,9022021484137002,1,,217990000039636865,217990000035047463
9022021484017001,9022021484017002,1,,217990000038650649,217990000038652943
9022021484017001,9022021484017002,1,,217990000038650649,217990000039638597
9022021484017001,9022021484017002,1,,217990000038650863,217990000039638721
9022021484017001,9022021484017002,1,,217990000039308144,217990000039309270
9022021484017001,9022021484017002,1,,217990000039638269,217990000039638474
9022021484017002,9022021484017001,1,,217990000038653317,217990000038650734
9022021484017002,9022021484017001,1,,217990000038653317,217990000039638309
9022021483384002,9022021483384002,1,,217990000039750576,217990000039309667
9022021483384002,9022021483384002,1,,217990000039750644,217990000039309600
9022021483384002,9022021483384002,1,,217990000039750705,217990000039309667
9022021483384002,9022021483384002,1,,217990000039750508,217990000039309600
9022021483384002,9022021483384002,1,,217990000039750761,217990000039309910
9022021483384002,9022021483384002,1,,217990000039750761,217990000039338959
9022021432022004,9022021432022004,1,,217990000038659994,217990000036123528
9022021432022004,9022021432022004,1,,217990000038659615,217990000036123670
9022021432022004,9022021432022001,1,,217990000038660044,217990000036124228
9022021432004003,9022021432004002,1,,217990000039751988,217990000036128364
9022021432022004,9022021432022004,1,,217990000039340345,217990000036123432
9022021432022002,9022021432022004,1,,217990000039340206,217990000036123670
9022021432022004,9022021432022004,1,,217990000039340297,217990000036123338
9022021432103003,9022021432103002,1,,217990000036123149,217990000038452697
9022021432103003,9022021432103002,1,,217990000036123338,217990000035055871
9022021432103003,9022021432103002,1,,217990000036123575,217990000035055195
9022021432103003,9022021432103002,1,,217990000036123528,217990000035056051
9022021432103003,9022021432103002,1,,217990000036123670,217990000039340957
9022021432022001,9022021432022004,1,,217990000035053805,217990000038660294
9022021432022001,9022021432022004,1,,217990000036123924,217990000038659713
9022021432022001,9022021432022004,1,,217990000036123967,217990000038660294
9022021432022001,9022021432022004,1,,217990000036124400,217990000038660244
9022021432131024,9022021432131024,1,,217990000036123799,217990000039340345
9022021432103002,9022021432103003,1,,217990000036613300,217990000036123760
9022021432103002,9022021432103003,1,,217990000038452336,217990000036124010
9022021432103002,9022021432103003,1,,217990000036339536,217990000035053762
9022021432103002,9022021432103003,1,,217990000036608322,217990000036123716
9022021432103002,9022021432103003,1,,217990000038452427,217990000036124054
9022021432103002,9022021432103003,1,,217990000039644640,217990000035053719
9022021432103001,9022021432103003,1,,217990000038454047,217990000035053934
9022021432103001,9022021432103003,1,,217990000038455012,217990000036123716
9022021432103001,9022021432103003,1,,217990000038453929,217990000036123924
9022021432103001,9022021432103001,1,,217990000038453929,217990000038453368
9022021432103001,9022021432103003,1,,217990000038455101,217990000036124054
9022021432103001,9022021432103003,1,,217990000038454682,217990000036123760
9022021432103001,9022021432103003,1,,217990000038454831,217990000036123799
9022021432103001,9022021432103001,1,,217990000038453748,217990000039341250
9022021432103001,9022021432103003,1,,217990000038454921,217990000036124010
9022021481269001,9022021481269002,1,,217990000034737923,217990000039577753
9022021481269001,9022021481269002,1,,217990000034737923,217990000040325528
9022021481269001,9022021481269002,1,,217990000034738085,217990000039569890
9022021481269001,9022021481269002,1,,217990000034738085,217990000040324649
9022021481269001,9022021481269002,1,,217990000034738031,217990000039569828
9022021481269001,9022021481269002,1,,217990000034738031,217990000040324587
9022021480079001,9022021480079001,1,,217990000039577215,217990000039730500
9022021480079001,9022021480079001,1,,217990000040325313,217990000040323540
9022021480079002,9022021480079001,1,,217990000039577498,217990000039729790
9022021480079002,9022021480079001,1,,217990000039577697,217990000039729738
9022021480079002,9022021480079001,1,,217990000039704453,217990000040323696
9022021481269002,9022021481269002,1,,217990000039568641,217990000034979023
9022021461122003,9022021461122004,1,,217990000038462050,217990000038483220
9022021461122003,9022021461122004,1,,217990000038464871,217990000038483984
9022021461122003,9022021461122004,1,,217990000038462934,217990000038482990
9022021461122003,9022021461122004,1,,217990000038460754,217990000038483575
9022021461122003,9022021461122004,1,,217990000038461186,217990000038483621
9022021461122003,9022021461122004,1,,217990000038464260,217990000038483938
9022021461122003,9022021461122004,1,,217990000038464260,217990000040105686
9022021461122003,9022021461122004,1,,217990000038460970,217990000038483529
9022021461122003,9022021461122004,1,,217990000038461618,217990000038483822
9022021461122003,9022021461122004,1,,217990000038461618,217990000039089777
9022021461122003,9022021461122004,1,,217990000038461906,217990000038483280
9022021461122003,9022021461122004,1,,217990000038464188,217990000038483036
9022021461122003,9022021461122004,1,,217990000038464188,217990000040104968
9022021461122003,9022021461122004,1,,217990000039647801,217990000040105304
9022021461122003,9022021461122004,1,,217990000039648233,217990000040105442
9022021461122003,9022021461122004,1,,217990000039648665,217990000040105548
9022021461122003,9022021461122004,1,,217990000039649969,217990000040105732
9022021461122003,9022021461122004,1,,217990000039648953,217990000040105166
9022021461122003,9022021461122004,1,,217990000039648017,217990000040105350
9022021461122003,9022021461122004,1,,217990000039649097,217990000040105396
9022021461122003,9022021461122004,1,,217990000039649824,217990000040105206
9022021482234014,9022021482234014,1,,217990000039348456,217990000039348897
9022021482131001,9022021482131002,1,,217990000039449117,217990000039450519
9022021482131001,9022021482131001,1,,217990000039449117,217990000039450745
9022021482131001,9022021482131002,1,,217990000039449259,217990000039731651
9022021482131001,9022021482131002,1,,217990000039449259,217990000039731688
9022021482131001,9022021482131002,1,,217990000039449164,217990000039450271
9022021482131002,9022021482131002,1,,217990000039450271,217990000039448900
9022021482131001,9022021482131002,1,,217990000039450779,217990000039448947
9022021482131001,9022021482131002,1,,217990000039450643,217990000039448947
